Model,Best_Params,Best_Score_MAE,Tuning_Time_Minutes
Random Forest,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_samples': 1.0, 'max_features': None, 'max_depth': 30, 'bootstrap': True}",2404.8526440090263,19.626455211639403
XGBoost,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",2439.2124660498557,3.314100205898285
