Model,Mean_WMAE,Std_WMAE,Mean_MAE,Std_MAE,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2,Mean_Train_Time
XGBoost,1185.905290192728,11.893620074573379,1177.7395504247422,9.2460361270076,2805.00231620558,363.25791669253755,0.9848210662234056,0.003806433580510876,15.448243284225464
Random Forest,1431.577342644881,12.261062455441975,1425.2920471581697,12.484453827160758,3799.6154125624134,361.85728652189306,0.9723086138001117,0.004864622759306763,33.69604983329773
