,mae,mse,rmse,r2,wmae,mape
Random Forest,5615.791741756668,91191302.16509229,9549.413707924288,0.7482164667574932,5749.494734375721,4982267767.917358
XGBoost,4947.398443028324,86749938.78752384,9313.964719040107,0.760479282805383,5029.257679812671,3265553135.620013
